lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
[light blue grommet 107 inch curtain],[grayish grommet 107 inch curtain],[gold grommet 107 inch curtain],[navy grommet 107 inch curtain],[bluish grommet 107 inch curtain],[light gray grommet 107 inch curtain],[dark grey grommet 107 inch curtain],[burlap grommet 107 inch curtain],[natural grommet 107 inch curtain],[black grommet 107 inch curtain],[pink grommet 107 inch curtain],[white grommet 107 inch curtain],[black and white grommet 107 inch curtain],[teal grommet 107 inch curtain]
[light blue grommet 107 inch drape],[grey grommet 107 inch curtain],[yellow grommet 107 inch curtain],[navy grommet 107 inch drape],[blue grommet 107 inch curtain],[silver grommet 107 inch curtain],[charcoal grommet 107 inch curtain],[sand grommet 107 inch curtain],[neutral grommet 107 inch curtain],[black grommet 107 inch drape],[light pink grommet 107 inch curtain],[white grommet 107 inch drape],[black and white grommet 107 inch drape],[dark teal grommet 107 inch curtain]
[light blue grommet 107 inch drapery],[gray grommet 107 inch curtain],[mustard grommet 107 inch curtain],[navy grommet 107 inch drapery],[indigo grommet 107 inch curtain],[light grey grommet 107 inch curtain],[black grey grommet 107 inch curtain],[taupe grommet 107 inch curtain],[greige grommet 107 inch curtain],[black grommet 107 inch drapery],[dark pink grommet 107 inch curtain],[white grommet 107 inch drapery],[black and white grommet 107 inch drapery],[light teal grommet 107 inch curtain]
[light blue grommet 107 inch panel],[grayish grommet 107 inch drape],[gold grommet 107 inch drape],[navy grommet 107 inch panel],[denim grommet 107 inch curtain],[light gray grommet 107 inch drape],[dark grey grommet 107 inch drape],[tan grommet 107 inch curtain],[ivory grommet 107 inch curtain],[black grommet 107 inch panel],[pink grommet 107 inch drape],[white grommet 107 inch panel],[black and white grommet 107 inch panel],[teal grommet 107 inch drape]
[light blue grommet 107 inch window curtain],[grey grommet 107 inch drape],[yellow grommet 107 inch drape],[navy grommet 107 inch window curtain],[bluish grommet 107 inch drape],[silver grommet 107 inch drape],[charcoal grommet 107 inch drape],[beige grommet 107 inch curtain],[cream grommet 107 inch curtain],[black grommet 107 inch window curtain],[light pink grommet 107 inch drape],[white grommet 107 inch window curtain],[black and white grommet 107 inch window curtain],[dark teal grommet 107 inch drape]
[light blue grommet 108 inch curtain],[gray grommet 107 inch drape],[mustard grommet 107 inch drape],[navy grommet 108 inch curtain],[blue grommet 107 inch drape],[light grey grommet 107 inch drape],[black grey grommet 107 inch drape],[light brown grommet 107 inch curtain],[off white grommet 107 inch curtain],[black grommet 108 inch curtain],[dark pink grommet 107 inch drape],[white grommet 108 inch curtain],[black and white grommet 108 inch curtain],[light teal grommet 107 inch drape]
[light blue grommet 108 inch drape],[grayish grommet 107 inch drapery],[gold grommet 107 inch drapery],[navy grommet 108 inch drape],[indigo grommet 107 inch drape],[light gray grommet 107 inch drapery],[dark grey grommet 107 inch drapery],[burlap grommet 107 inch drape],[natural grommet 107 inch drape],[black grommet 108 inch drape],[pink grommet 107 inch drapery],[white grommet 108 inch drape],[black and white grommet 108 inch drape],[teal grommet 107 inch drapery]
[light blue grommet 108 inch drapery],[grey grommet 107 inch drapery],[yellow grommet 107 inch drapery],[navy grommet 108 inch drapery],[denim grommet 107 inch drape],[silver grommet 107 inch drapery],[charcoal grommet 107 inch drapery],[sand grommet 107 inch drape],[neutral grommet 107 inch drape],[black grommet 108 inch drapery],[light pink grommet 107 inch drapery],[white grommet 108 inch drapery],[black and white grommet 108 inch drapery],[dark teal grommet 107 inch drapery]
[light blue grommet 108 inch panel],[gray grommet 107 inch drapery],[mustard grommet 107 inch drapery],[navy grommet 108 inch panel],[bluish grommet 107 inch drapery],[light grey grommet 107 inch drapery],[black grey grommet 107 inch drapery],[taupe grommet 107 inch drape],[greige grommet 107 inch drape],[black grommet 108 inch panel],[dark pink grommet 107 inch drapery],[white grommet 108 inch panel],[black and white grommet 108 inch panel],[light teal grommet 107 inch drapery]
[light blue grommet 108 inch window curtain],[grayish grommet 107 inch panel],[gold grommet 107 inch panel],[navy grommet 108 inch window curtain],[blue grommet 107 inch drapery],[light gray grommet 107 inch panel],[dark grey grommet 107 inch panel],[tan grommet 107 inch drape],[ivory grommet 107 inch drape],[black grommet 108 inch window curtain],[pink grommet 107 inch panel],[white grommet 108 inch window curtain],[black and white grommet 108 inch window curtain],[teal grommet 107 inch panel]
[light blue grommet 109 inch curtain],[grey grommet 107 inch panel],[yellow grommet 107 inch panel],[navy grommet 109 inch curtain],[indigo grommet 107 inch drapery],[silver grommet 107 inch panel],[charcoal grommet 107 inch panel],[beige grommet 107 inch drape],[cream grommet 107 inch drape],[black grommet 109 inch curtain],[light pink grommet 107 inch panel],[white grommet 109 inch curtain],[black and white grommet 109 inch curtain],[dark teal grommet 107 inch panel]
[light blue grommet 109 inch drape],[gray grommet 107 inch panel],[mustard grommet 107 inch panel],[navy grommet 109 inch drape],[denim grommet 107 inch drapery],[light grey grommet 107 inch panel],[black grey grommet 107 inch panel],[light brown grommet 107 inch drape],[off white grommet 107 inch drape],[black grommet 109 inch drape],[dark pink grommet 107 inch panel],[white grommet 109 inch drape],[black and white grommet 109 inch drape],[light teal grommet 107 inch panel]
[light blue grommet 109 inch drapery],[grayish grommet 107 inch window curtain],[gold grommet 107 inch window curtain],[navy grommet 109 inch drapery],[bluish grommet 107 inch panel],[light gray grommet 107 inch window curtain],[dark grey grommet 107 inch window curtain],[burlap grommet 107 inch drapery],[natural grommet 107 inch drapery],[black grommet 109 inch drapery],[pink grommet 107 inch window curtain],[white grommet 109 inch drapery],[black and white grommet 109 inch drapery],[teal grommet 107 inch window curtain]
[light blue grommet 109 inch panel],[grey grommet 107 inch window curtain],[yellow grommet 107 inch window curtain],[navy grommet 109 inch panel],[blue grommet 107 inch panel],[silver grommet 107 inch window curtain],[charcoal grommet 107 inch window curtain],[sand grommet 107 inch drapery],[neutral grommet 107 inch drapery],[black grommet 109 inch panel],[light pink grommet 107 inch window curtain],[white grommet 109 inch panel],[black and white grommet 109 inch panel],[dark teal grommet 107 inch window curtain]
