lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
[light blue grommet 95 inch curtain],[grayish grommet 95 inch curtain],[gold grommet 95 inch curtain],[navy grommet 95 inch curtain],[bluish grommet 95 inch curtain],[light gray grommet 95 inch curtain],[dark grey grommet 95 inch curtain],[burlap grommet 95 inch curtain],[natural grommet 95 inch curtain],[black grommet 95 inch curtain],[pink grommet 95 inch curtain],[white grommet 95 inch curtain],[black and white grommet 95 inch curtain],[teal grommet 95 inch curtain]
[light blue grommet 95 inch drape],[grey grommet 95 inch curtain],[yellow grommet 95 inch curtain],[navy grommet 95 inch drape],[blue grommet 95 inch curtain],[silver grommet 95 inch curtain],[charcoal grommet 95 inch curtain],[sand grommet 95 inch curtain],[neutral grommet 95 inch curtain],[black grommet 95 inch drape],[light pink grommet 95 inch curtain],[white grommet 95 inch drape],[black and white grommet 95 inch drape],[dark teal grommet 95 inch curtain]
[light blue grommet 95 inch drapery],[gray grommet 95 inch curtain],[mustard grommet 95 inch curtain],[navy grommet 95 inch drapery],[indigo grommet 95 inch curtain],[light grey grommet 95 inch curtain],[black grey grommet 95 inch curtain],[taupe grommet 95 inch curtain],[greige grommet 95 inch curtain],[black grommet 95 inch drapery],[dark pink grommet 95 inch curtain],[white grommet 95 inch drapery],[black and white grommet 95 inch drapery],[light teal grommet 95 inch curtain]
[light blue grommet 95 inch panel],[grayish grommet 95 inch drape],[gold grommet 95 inch drape],[navy grommet 95 inch panel],[denim grommet 95 inch curtain],[light gray grommet 95 inch drape],[dark grey grommet 95 inch drape],[tan grommet 95 inch curtain],[ivory grommet 95 inch curtain],[black grommet 95 inch panel],[pink grommet 95 inch drape],[white grommet 95 inch panel],[black and white grommet 95 inch panel],[teal grommet 95 inch drape]
[light blue grommet 95 inch window curtain],[grey grommet 95 inch drape],[yellow grommet 95 inch drape],[navy grommet 95 inch window curtain],[bluish grommet 95 inch drape],[silver grommet 95 inch drape],[charcoal grommet 95 inch drape],[beige grommet 95 inch curtain],[cream grommet 95 inch curtain],[black grommet 95 inch window curtain],[light pink grommet 95 inch drape],[white grommet 95 inch window curtain],[black and white grommet 95 inch window curtain],[dark teal grommet 95 inch drape]
[light blue grommet 96 inch curtain],[gray grommet 95 inch drape],[mustard grommet 95 inch drape],[navy grommet 96 inch curtain],[blue grommet 95 inch drape],[light grey grommet 95 inch drape],[black grey grommet 95 inch drape],[light brown grommet 95 inch curtain],[off white grommet 95 inch curtain],[black grommet 96 inch curtain],[dark pink grommet 95 inch drape],[white grommet 96 inch curtain],[black and white grommet 96 inch curtain],[light teal grommet 95 inch drape]
[light blue grommet 96 inch drape],[grayish grommet 95 inch drapery],[gold grommet 95 inch drapery],[navy grommet 96 inch drape],[indigo grommet 95 inch drape],[light gray grommet 95 inch drapery],[dark grey grommet 95 inch drapery],[burlap grommet 95 inch drape],[natural grommet 95 inch drape],[black grommet 96 inch drape],[pink grommet 95 inch drapery],[white grommet 96 inch drape],[black and white grommet 96 inch drape],[teal grommet 95 inch drapery]
[light blue grommet 96 inch drapery],[grey grommet 95 inch drapery],[yellow grommet 95 inch drapery],[navy grommet 96 inch drapery],[denim grommet 95 inch drape],[silver grommet 95 inch drapery],[charcoal grommet 95 inch drapery],[sand grommet 95 inch drape],[neutral grommet 95 inch drape],[black grommet 96 inch drapery],[light pink grommet 95 inch drapery],[white grommet 96 inch drapery],[black and white grommet 96 inch drapery],[dark teal grommet 95 inch drapery]
[light blue grommet 96 inch panel],[gray grommet 95 inch drapery],[mustard grommet 95 inch drapery],[navy grommet 96 inch panel],[bluish grommet 95 inch drapery],[light grey grommet 95 inch drapery],[black grey grommet 95 inch drapery],[taupe grommet 95 inch drape],[greige grommet 95 inch drape],[black grommet 96 inch panel],[dark pink grommet 95 inch drapery],[white grommet 96 inch panel],[black and white grommet 96 inch panel],[light teal grommet 95 inch drapery]
[light blue grommet 96 inch window curtain],[grayish grommet 95 inch panel],[gold grommet 95 inch panel],[navy grommet 96 inch window curtain],[blue grommet 95 inch drapery],[light gray grommet 95 inch panel],[dark grey grommet 95 inch panel],[tan grommet 95 inch drape],[ivory grommet 95 inch drape],[black grommet 96 inch window curtain],[pink grommet 95 inch panel],[white grommet 96 inch window curtain],[black and white grommet 96 inch window curtain],[teal grommet 95 inch panel]
[light blue grommet 97 inch curtain],[grey grommet 95 inch panel],[yellow grommet 95 inch panel],[navy grommet 97 inch curtain],[indigo grommet 95 inch drapery],[silver grommet 95 inch panel],[charcoal grommet 95 inch panel],[beige grommet 95 inch drape],[cream grommet 95 inch drape],[black grommet 97 inch curtain],[light pink grommet 95 inch panel],[white grommet 97 inch curtain],[black and white grommet 97 inch curtain],[dark teal grommet 95 inch panel]
