Product,Size,blackout
pink 84 inch,curtain,black out
pink 96 inch,drape,sun block
pink 108 inch,drapery,sun blocking
pink 85 inch,panel,
pink 87 inch,window curtain,
pink 109 inch,draperies,
pink 107 inch,,
pink 100 inch,,
pink 97 inch,,
pink 95 inch,,
pink grommet,,
pink coastal,,
pink heavy,,
pink pattern,,
pink modern,,
pink woven,,
pink linen,,
pink texture,,
pink tweed,,
pink chambray,,
pink ring top,,
pink print,,
pink patterned,,
pink printed,,
pink geometric,,
pink bold print,,
pink farmhouse,,
pink farm house,,
pink semi sheer,,
pink rustic,,
