lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivo, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
[light blue woven farmhouse black out],[grayish woven farmhouse black out],[gold woven farmhouse black out],[navy woven farmhouse black out],[bluish woven farmhouse black out],[light gray woven farmhouse black out],[dark grey woven farmhouse black out],[burlap woven farmhouse black out],[natural woven farmhouse black out],[black woven farmhouse black out],[pink woven farmhouse black out],[white woven farmhouse black out],[black and white woven farmhouse black out],[teal woven farmhouse black out]
[light blue woven farmhouse sun block],[grey woven farmhouse black out],[yellow woven farmhouse black out],[navy woven farmhouse sun block],[blue woven farmhouse black out],[silver woven farmhouse black out],[charcoal woven farmhouse black out],[sand woven farmhouse black out],[neutral woven farmhouse black out],[black woven farmhouse sun block],[light pink woven farmhouse black out],[white woven farmhouse sun block],[black and white woven farmhouse sun block],[dark teal woven farmhouse black out]
[light blue woven farmhouse sun blocking],[gray woven farmhouse black out],[mustard woven farmhouse black out],[navy woven farmhouse sun blocking],[indigo woven farmhouse black out],[light grey woven farmhouse black out],[black grey woven farmhouse black out],[taupe woven farmhouse black out],[greige woven farmhouse black out],[black woven farmhouse sun blocking],[dark pink woven farmhouse black out],[white woven farmhouse sun blocking],[black and white woven farmhouse sun blocking],[light teal woven farmhouse black out]
[light blue woven farmhouse black out ],[grayish woven farmhouse sun block],[gold woven farmhouse sun block],[navy woven farmhouse black out ],[denim woven farmhouse black out],[light gray woven farmhouse sun block],[dark grey woven farmhouse sun block],[tan woven farmhouse black out],[ivo woven farmhouse black out],[black woven farmhouse black out ],[pink woven farmhouse sun block],[white woven farmhouse black out ],[black and white woven farmhouse black out ],[teal woven farmhouse sun block]
[light blue woven farmhouse sun block ],[grey woven farmhouse sun block],[yellow woven farmhouse sun block],[navy woven farmhouse sun block ],[bluish woven farmhouse sun block],[silver woven farmhouse sun block],[charcoal woven farmhouse sun block],[beige woven farmhouse black out],[cream woven farmhouse black out],[black woven farmhouse sun block ],[light pink woven farmhouse sun block],[white woven farmhouse sun block ],[black and white woven farmhouse sun block ],[dark teal woven farmhouse sun block]
[light blue woven farmhouse sun blocking ],[gray woven farmhouse sun block],[mustard woven farmhouse sun block],[navy woven farmhouse sun blocking ],[blue woven farmhouse sun block],[light grey woven farmhouse sun block],[black grey woven farmhouse sun block],[light brown woven farmhouse black out],[off white woven farmhouse black out],[black woven farmhouse sun blocking ],[dark pink woven farmhouse sun block],[white woven farmhouse sun blocking ],[black and white woven farmhouse sun blocking ],[light teal woven farmhouse sun block]
[light blue woven farmhouse black out ],[grayish woven farmhouse sun blocking],[gold woven farmhouse sun blocking],[navy woven farmhouse black out ],[indigo woven farmhouse sun block],[light gray woven farmhouse sun blocking],[dark grey woven farmhouse sun blocking],[burlap woven farmhouse sun block],[natural woven farmhouse sun block],[black woven farmhouse black out ],[pink woven farmhouse sun blocking],[white woven farmhouse black out ],[black and white woven farmhouse black out ],[teal woven farmhouse sun blocking]
[light blue woven farmhouse sun block ],[grey woven farmhouse sun blocking],[yellow woven farmhouse sun blocking],[navy woven farmhouse sun block ],[denim woven farmhouse sun block],[silver woven farmhouse sun blocking],[charcoal woven farmhouse sun blocking],[sand woven farmhouse sun block],[neutral woven farmhouse sun block],[black woven farmhouse sun block ],[light pink woven farmhouse sun blocking],[white woven farmhouse sun block ],[black and white woven farmhouse sun block ],[dark teal woven farmhouse sun blocking]
[light blue woven farmhouse sun blocking ],[gray woven farmhouse sun blocking],[mustard woven farmhouse sun blocking],[navy woven farmhouse sun blocking ],[bluish woven farmhouse sun blocking],[light grey woven farmhouse sun blocking],[black grey woven farmhouse sun blocking],[taupe woven farmhouse sun block],[greige woven farmhouse sun block],[black woven farmhouse sun blocking ],[dark pink woven farmhouse sun blocking],[white woven farmhouse sun blocking ],[black and white woven farmhouse sun blocking ],[light teal woven farmhouse sun blocking]
