lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
"""light blue grommet patio black out""","""grayish grommet patio black out""","""gold grommet patio black out""","""navy grommet patio black out""","""bluish grommet patio black out""","""light gray grommet patio black out""","""dark grey grommet patio black out""","""burlap grommet patio black out""","""natural grommet patio black out""","""black grommet patio black out""","""pink grommet patio black out""","""white grommet patio black out""","""black and white grommet patio black out""","""teal grommet patio black out"""
"""light blue grommet patio sun block""","""grey grommet patio black out""","""yellow grommet patio black out""","""navy grommet patio sun block""","""blue grommet patio black out""","""silver grommet patio black out""","""charcoal grommet patio black out""","""sand grommet patio black out""","""neutral grommet patio black out""","""black grommet patio sun block""","""light pink grommet patio black out""","""white grommet patio sun block""","""black and white grommet patio sun block""","""dark teal grommet patio black out"""
"""light blue grommet patio sun blocking""","""gray grommet patio black out""","""mustard grommet patio black out""","""navy grommet patio sun blocking""","""indigo grommet patio black out""","""light grey grommet patio black out""","""black grey grommet patio black out""","""taupe grommet patio black out""","""greige grommet patio black out""","""black grommet patio sun blocking""","""dark pink grommet patio black out""","""white grommet patio sun blocking""","""black and white grommet patio sun blocking""","""light teal grommet patio black out"""
"""light blue grommet extra wide black out""","""grayish grommet patio sun block""","""gold grommet patio sun block""","""navy grommet extra wide black out""","""denim grommet patio black out""","""light gray grommet patio sun block""","""dark grey grommet patio sun block""","""tan grommet patio black out""","""ivory grommet patio black out""","""black grommet extra wide black out""","""pink grommet patio sun block""","""white grommet extra wide black out""","""black and white grommet extra wide black out""","""teal grommet patio sun block"""
"""light blue grommet extra wide sun block""","""grey grommet patio sun block""","""yellow grommet patio sun block""","""navy grommet extra wide sun block""","""bluish grommet patio sun block""","""silver grommet patio sun block""","""charcoal grommet patio sun block""","""beige grommet patio black out""","""cream grommet patio black out""","""black grommet extra wide sun block""","""light pink grommet patio sun block""","""white grommet extra wide sun block""","""black and white grommet extra wide sun block""","""dark teal grommet patio sun block"""
"""light blue grommet extra wide sun blocking""","""gray grommet patio sun block""","""mustard grommet patio sun block""","""navy grommet extra wide sun blocking""","""blue grommet patio sun block""","""light grey grommet patio sun block""","""black grey grommet patio sun block""","""light brown grommet patio black out""","""off white grommet patio black out""","""black grommet extra wide sun blocking""","""dark pink grommet patio sun block""","""white grommet extra wide sun blocking""","""black and white grommet extra wide sun blocking""","""light teal grommet patio sun block"""
"""light blue grommet wide black out""","""grayish grommet patio sun blocking""","""gold grommet patio sun blocking""","""navy grommet wide black out""","""indigo grommet patio sun block""","""light gray grommet patio sun blocking""","""dark grey grommet patio sun blocking""","""burlap grommet patio sun block""","""natural grommet patio sun block""","""black grommet wide black out""","""pink grommet patio sun blocking""","""white grommet wide black out""","""black and white grommet wide black out""","""teal grommet patio sun blocking"""
"""light blue grommet wide sun block""","""grey grommet patio sun blocking""","""yellow grommet patio sun blocking""","""navy grommet wide sun block""","""denim grommet patio sun block""","""silver grommet patio sun blocking""","""charcoal grommet patio sun blocking""","""sand grommet patio sun block""","""neutral grommet patio sun block""","""black grommet wide sun block""","""light pink grommet patio sun blocking""","""white grommet wide sun block""","""black and white grommet wide sun block""","""dark teal grommet patio sun blocking"""
"""light blue grommet wide sun blocking""","""gray grommet patio sun blocking""","""mustard grommet patio sun blocking""","""navy grommet wide sun blocking""","""bluish grommet patio sun blocking""","""light grey grommet patio sun blocking""","""black grey grommet patio sun blocking""","""taupe grommet patio sun block""","""greige grommet patio sun block""","""black grommet wide sun blocking""","""dark pink grommet patio sun blocking""","""white grommet wide sun blocking""","""black and white grommet wide sun blocking""","""light teal grommet patio sun blocking"""
"""light blue grommet double black out""","""grayish grommet extra wide black out""","""gold grommet extra wide black out""","""navy grommet double black out""","""blue grommet patio sun blocking""","""light gray grommet extra wide black out""","""dark grey grommet extra wide black out""","""tan grommet patio sun block""","""ivory grommet patio sun block""","""black grommet double black out""","""pink grommet extra wide black out""","""white grommet double black out""","""black and white grommet double black out""","""teal grommet extra wide black out"""
