lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
"""light blue grommet patio curtain""","""grayish grommet patio curtain""","""gold grommet patio curtain""","""navy grommet patio curtain""","""bluish grommet patio curtain""","""light gray grommet patio curtain""","""dark grey grommet patio curtain""","""burlap grommet patio curtain""","""natural grommet patio curtain""","""black grommet patio curtain""","""pink grommet patio curtain""","""white grommet patio curtain""","""black and white grommet patio curtain""","""teal grommet patio curtain"""
"""light blue grommet patio drape""","""grey grommet patio curtain""","""yellow grommet patio curtain""","""navy grommet patio drape""","""blue grommet patio curtain""","""silver grommet patio curtain""","""charcoal grommet patio curtain""","""sand grommet patio curtain""","""neutral grommet patio curtain""","""black grommet patio drape""","""light pink grommet patio curtain""","""white grommet patio drape""","""black and white grommet patio drape""","""dark teal grommet patio curtain"""
"""light blue grommet patio drapery""","""gray grommet patio curtain""","""mustard grommet patio curtain""","""navy grommet patio drapery""","""indigo grommet patio curtain""","""light grey grommet patio curtain""","""black grey grommet patio curtain""","""taupe grommet patio curtain""","""greige grommet patio curtain""","""black grommet patio drapery""","""dark pink grommet patio curtain""","""white grommet patio drapery""","""black and white grommet patio drapery""","""light teal grommet patio curtain"""
"""light blue grommet patio panel""","""grayish grommet patio drape""","""gold grommet patio drape""","""navy grommet patio panel""","""denim grommet patio curtain""","""light gray grommet patio drape""","""dark grey grommet patio drape""","""tan grommet patio curtain""","""ivory grommet patio curtain""","""black grommet patio panel""","""pink grommet patio drape""","""white grommet patio panel""","""black and white grommet patio panel""","""teal grommet patio drape"""
"""light blue grommet patio window curtain""","""grey grommet patio drape""","""yellow grommet patio drape""","""navy grommet patio window curtain""","""bluish grommet patio drape""","""silver grommet patio drape""","""charcoal grommet patio drape""","""beige grommet patio curtain""","""cream grommet patio curtain""","""black grommet patio window curtain""","""light pink grommet patio drape""","""white grommet patio window curtain""","""black and white grommet patio window curtain""","""dark teal grommet patio drape"""
"""light blue grommet extra wide curtain""","""gray grommet patio drape""","""mustard grommet patio drape""","""navy grommet extra wide curtain""","""blue grommet patio drape""","""light grey grommet patio drape""","""black grey grommet patio drape""","""light brown grommet patio curtain""","""off white grommet patio curtain""","""black grommet extra wide curtain""","""dark pink grommet patio drape""","""white grommet extra wide curtain""","""black and white grommet extra wide curtain""","""light teal grommet patio drape"""
"""light blue grommet extra wide drape""","""grayish grommet patio drapery""","""gold grommet patio drapery""","""navy grommet extra wide drape""","""indigo grommet patio drape""","""light gray grommet patio drapery""","""dark grey grommet patio drapery""","""burlap grommet patio drape""","""natural grommet patio drape""","""black grommet extra wide drape""","""pink grommet patio drapery""","""white grommet extra wide drape""","""black and white grommet extra wide drape""","""teal grommet patio drapery"""
"""light blue grommet extra wide drapery""","""grey grommet patio drapery""","""yellow grommet patio drapery""","""navy grommet extra wide drapery""","""denim grommet patio drape""","""silver grommet patio drapery""","""charcoal grommet patio drapery""","""sand grommet patio drape""","""neutral grommet patio drape""","""black grommet extra wide drapery""","""light pink grommet patio drapery""","""white grommet extra wide drapery""","""black and white grommet extra wide drapery""","""dark teal grommet patio drapery"""
"""light blue grommet extra wide panel""","""gray grommet patio drapery""","""mustard grommet patio drapery""","""navy grommet extra wide panel""","""bluish grommet patio drapery""","""light grey grommet patio drapery""","""black grey grommet patio drapery""","""taupe grommet patio drape""","""greige grommet patio drape""","""black grommet extra wide panel""","""dark pink grommet patio drapery""","""white grommet extra wide panel""","""black and white grommet extra wide panel""","""light teal grommet patio drapery"""
"""light blue grommet extra wide window curtain""","""grayish grommet patio panel""","""gold grommet patio panel""","""navy grommet extra wide window curtain""","""blue grommet patio drapery""","""light gray grommet patio panel""","""dark grey grommet patio panel""","""tan grommet patio drape""","""ivory grommet patio drape""","""black grommet extra wide window curtain""","""pink grommet patio panel""","""white grommet extra wide window curtain""","""black and white grommet extra wide window curtain""","""teal grommet patio panel"""
"""light blue grommet wide curtain""","""grey grommet patio panel""","""yellow grommet patio panel""","""navy grommet wide curtain""","""indigo grommet patio drapery""","""silver grommet patio panel""","""charcoal grommet patio panel""","""beige grommet patio drape""","""cream grommet patio drape""","""black grommet wide curtain""","""light pink grommet patio panel""","""white grommet wide curtain""","""black and white grommet wide curtain""","""dark teal grommet patio panel"""
"""light blue grommet wide drape""","""gray grommet patio panel""","""mustard grommet patio panel""","""navy grommet wide drape""","""denim grommet patio drapery""","""light grey grommet patio panel""","""black grey grommet patio panel""","""light brown grommet patio drape""","""off white grommet patio drape""","""black grommet wide drape""","""dark pink grommet patio panel""","""white grommet wide drape""","""black and white grommet wide drape""","""light teal grommet patio panel"""
"""light blue grommet wide drapery""","""grayish grommet patio window curtain""","""gold grommet patio window curtain""","""navy grommet wide drapery""","""bluish grommet patio panel""","""light gray grommet patio window curtain""","""dark grey grommet patio window curtain""","""burlap grommet patio drapery""","""natural grommet patio drapery""","""black grommet wide drapery""","""pink grommet patio window curtain""","""white grommet wide drapery""","""black and white grommet wide drapery""","""teal grommet patio window curtain"""
"""light blue grommet wide panel""","""grey grommet patio window curtain""","""yellow grommet patio window curtain""","""navy grommet wide panel""","""blue grommet patio panel""","""silver grommet patio window curtain""","""charcoal grommet patio window curtain""","""sand grommet patio drapery""","""neutral grommet patio drapery""","""black grommet wide panel""","""light pink grommet patio window curtain""","""white grommet wide panel""","""black and white grommet wide panel""","""dark teal grommet patio window curtain"""
"""light blue grommet wide window curtain""","""gray grommet patio window curtain""","""mustard grommet patio window curtain""","""navy grommet wide window curtain""","""indigo grommet patio panel""","""light grey grommet patio window curtain""","""black grey grommet patio window curtain""","""taupe grommet patio drapery""","""greige grommet patio drapery""","""black grommet wide window curtain""","""dark pink grommet patio window curtain""","""white grommet wide window curtain""","""black and white grommet wide window curtain""","""light teal grommet patio window curtain"""
"""light blue grommet double curtain""","""grayish grommet extra wide curtain""","""gold grommet extra wide curtain""","""navy grommet double curtain""","""denim grommet patio panel""","""light gray grommet extra wide curtain""","""dark grey grommet extra wide curtain""","""tan grommet patio drapery""","""ivory grommet patio drapery""","""black grommet double curtain""","""pink grommet extra wide curtain""","""white grommet double curtain""","""black and white grommet double curtain""","""teal grommet extra wide curtain"""
"""light blue grommet double drape""","""grey grommet extra wide curtain""","""yellow grommet extra wide curtain""","""navy grommet double drape""","""bluish grommet patio window curtain""","""silver grommet extra wide curtain""","""charcoal grommet extra wide curtain""","""beige grommet patio drapery""","""cream grommet patio drapery""","""black grommet double drape""","""light pink grommet extra wide curtain""","""white grommet double drape""","""black and white grommet double drape""","""dark teal grommet extra wide curtain"""
"""light blue grommet double drapery""","""gray grommet extra wide curtain""","""mustard grommet extra wide curtain""","""navy grommet double drapery""","""blue grommet patio window curtain""","""light grey grommet extra wide curtain""","""black grey grommet extra wide curtain""","""light brown grommet patio drapery""","""off white grommet patio drapery""","""black grommet double drapery""","""dark pink grommet extra wide curtain""","""white grommet double drapery""","""black and white grommet double drapery""","""light teal grommet extra wide curtain"""
"""light blue grommet double panel""","""grayish grommet extra wide drape""","""gold grommet extra wide drape""","""navy grommet double panel""","""indigo grommet patio window curtain""","""light gray grommet extra wide drape""","""dark grey grommet extra wide drape""","""burlap grommet patio panel""","""natural grommet patio panel""","""black grommet double panel""","""pink grommet extra wide drape""","""white grommet double panel""","""black and white grommet double panel""","""teal grommet extra wide drape"""
