lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
"""light blue ring top 84 black out curtain""","""grayish ring top 84 black out curtain""","""gold ring top 84 black out curtain""","""navy ring top 84 black out curtain""","""bluish ring top 84 black out curtain""","""light gray ring top 84 black out curtain""","""dark grey ring top 84 black out curtain""","""burlap ring top 84 black out curtain""","""natural ring top 84 black out curtain""","""black ring top 84 black out curtain""","""pink ring top 84 black out curtain""","""white ring top 84 black out curtain""","""black and white ring top 84 black out curtain""","""teal ring top 84 black out curtain"""
"""light blue ring top 84 sun block curtain""","""grey ring top 84 black out curtain""","""yellow ring top 84 black out curtain""","""navy ring top 84 sun block curtain""","""blue ring top 84 black out curtain""","""silver ring top 84 black out curtain""","""charcoal ring top 84 black out curtain""","""sand ring top 84 black out curtain""","""neutral ring top 84 black out curtain""","""black ring top 84 sun block curtain""","""light pink ring top 84 black out curtain""","""white ring top 84 sun block curtain""","""black and white ring top 84 sun block curtain""","""dark teal ring top 84 black out curtain"""
"""light blue ring top 84 sun blocking curtain""","""gray ring top 84 black out curtain""","""mustard ring top 84 black out curtain""","""navy ring top 84 sun blocking curtain""","""indigo ring top 84 black out curtain""","""light grey ring top 84 black out curtain""","""black grey ring top 84 black out curtain""","""taupe ring top 84 black out curtain""","""greige ring top 84 black out curtain""","""black ring top 84 sun blocking curtain""","""dark pink ring top 84 black out curtain""","""white ring top 84 sun blocking curtain""","""black and white ring top 84 sun blocking curtain""","""light teal ring top 84 black out curtain"""
"""light blue ring top 84 black out drape""","""grayish ring top 84 sun block curtain""","""gold ring top 84 sun block curtain""","""navy ring top 84 black out drape""","""denim ring top 84 black out curtain""","""light gray ring top 84 sun block curtain""","""dark grey ring top 84 sun block curtain""","""tan ring top 84 black out curtain""","""ivory ring top 84 black out curtain""","""black ring top 84 black out drape""","""pink ring top 84 sun block curtain""","""white ring top 84 black out drape""","""black and white ring top 84 black out drape""","""teal ring top 84 sun block curtain"""
"""light blue ring top 84 sun block drape""","""grey ring top 84 sun block curtain""","""yellow ring top 84 sun block curtain""","""navy ring top 84 sun block drape""","""bluish ring top 84 sun block curtain""","""silver ring top 84 sun block curtain""","""charcoal ring top 84 sun block curtain""","""beige ring top 84 black out curtain""","""cream ring top 84 black out curtain""","""black ring top 84 sun block drape""","""light pink ring top 84 sun block curtain""","""white ring top 84 sun block drape""","""black and white ring top 84 sun block drape""","""dark teal ring top 84 sun block curtain"""
"""light blue ring top 84 sun blocking drape""","""gray ring top 84 sun block curtain""","""mustard ring top 84 sun block curtain""","""navy ring top 84 sun blocking drape""","""blue ring top 84 sun block curtain""","""light grey ring top 84 sun block curtain""","""black grey ring top 84 sun block curtain""","""light brown ring top 84 black out curtain""","""off white ring top 84 black out curtain""","""black ring top 84 sun blocking drape""","""dark pink ring top 84 sun block curtain""","""white ring top 84 sun blocking drape""","""black and white ring top 84 sun blocking drape""","""light teal ring top 84 sun block curtain"""
"""light blue ring top 84 black out drapery""","""grayish ring top 84 sun blocking curtain""","""gold ring top 84 sun blocking curtain""","""navy ring top 84 black out drapery""","""indigo ring top 84 sun block curtain""","""light gray ring top 84 sun blocking curtain""","""dark grey ring top 84 sun blocking curtain""","""burlap ring top 84 sun block curtain""","""natural ring top 84 sun block curtain""","""black ring top 84 black out drapery""","""pink ring top 84 sun blocking curtain""","""white ring top 84 black out drapery""","""black and white ring top 84 black out drapery""","""teal ring top 84 sun blocking curtain"""
"""light blue ring top 84 sun block drapery""","""grey ring top 84 sun blocking curtain""","""yellow ring top 84 sun blocking curtain""","""navy ring top 84 sun block drapery""","""denim ring top 84 sun block curtain""","""silver ring top 84 sun blocking curtain""","""charcoal ring top 84 sun blocking curtain""","""sand ring top 84 sun block curtain""","""neutral ring top 84 sun block curtain""","""black ring top 84 sun block drapery""","""light pink ring top 84 sun blocking curtain""","""white ring top 84 sun block drapery""","""black and white ring top 84 sun block drapery""","""dark teal ring top 84 sun blocking curtain"""
"""light blue ring top 84 sun blocking drapery""","""gray ring top 84 sun blocking curtain""","""mustard ring top 84 sun blocking curtain""","""navy ring top 84 sun blocking drapery""","""bluish ring top 84 sun blocking curtain""","""light grey ring top 84 sun blocking curtain""","""black grey ring top 84 sun blocking curtain""","""taupe ring top 84 sun block curtain""","""greige ring top 84 sun block curtain""","""black ring top 84 sun blocking drapery""","""dark pink ring top 84 sun blocking curtain""","""white ring top 84 sun blocking drapery""","""black and white ring top 84 sun blocking drapery""","""light teal ring top 84 sun blocking curtain"""
