lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
"""light blue silk 84 inch black out curtain""","""grayish silk 84 inch black out curtain""","""gold silk 84 inch black out curtain""","""navy silk 84 inch black out curtain""","""bluish silk 84 inch black out curtain""","""light gray silk 84 inch black out curtain""","""dark grey silk 84 inch black out curtain""","""burlap silk 84 inch black out curtain""","""natural silk 84 inch black out curtain""","""black silk 84 inch black out curtain""","""pink silk 84 inch black out curtain""","""white silk 84 inch black out curtain""","""black and white silk 84 inch black out curtain""","""teal silk 84 inch black out curtain"""
"""light blue silk 84 inch sun block curtain""","""grey silk 84 inch black out curtain""","""yellow silk 84 inch black out curtain""","""navy silk 84 inch sun block curtain""","""blue silk 84 inch black out curtain""","""silver silk 84 inch black out curtain""","""charcoal silk 84 inch black out curtain""","""sand silk 84 inch black out curtain""","""neutral silk 84 inch black out curtain""","""black silk 84 inch sun block curtain""","""light pink silk 84 inch black out curtain""","""white silk 84 inch sun block curtain""","""black and white silk 84 inch sun block curtain""","""dark teal silk 84 inch black out curtain"""
"""light blue silk 84 inch sun blocking curtain""","""gray silk 84 inch black out curtain""","""mustard silk 84 inch black out curtain""","""navy silk 84 inch sun blocking curtain""","""indigo silk 84 inch black out curtain""","""light grey silk 84 inch black out curtain""","""black grey silk 84 inch black out curtain""","""taupe silk 84 inch black out curtain""","""greige silk 84 inch black out curtain""","""black silk 84 inch sun blocking curtain""","""dark pink silk 84 inch black out curtain""","""white silk 84 inch sun blocking curtain""","""black and white silk 84 inch sun blocking curtain""","""light teal silk 84 inch black out curtain"""
"""light blue silk 84 inch black out drape""","""grayish silk 84 inch sun block curtain""","""gold silk 84 inch sun block curtain""","""navy silk 84 inch black out drape""","""denim silk 84 inch black out curtain""","""light gray silk 84 inch sun block curtain""","""dark grey silk 84 inch sun block curtain""","""tan silk 84 inch black out curtain""","""ivory silk 84 inch black out curtain""","""black silk 84 inch black out drape""","""pink silk 84 inch sun block curtain""","""white silk 84 inch black out drape""","""black and white silk 84 inch black out drape""","""teal silk 84 inch sun block curtain"""
"""light blue silk 84 inch sun block drape""","""grey silk 84 inch sun block curtain""","""yellow silk 84 inch sun block curtain""","""navy silk 84 inch sun block drape""","""bluish silk 84 inch sun block curtain""","""silver silk 84 inch sun block curtain""","""charcoal silk 84 inch sun block curtain""","""beige silk 84 inch black out curtain""","""cream silk 84 inch black out curtain""","""black silk 84 inch sun block drape""","""light pink silk 84 inch sun block curtain""","""white silk 84 inch sun block drape""","""black and white silk 84 inch sun block drape""","""dark teal silk 84 inch sun block curtain"""
"""light blue silk 84 inch sun blocking drape""","""gray silk 84 inch sun block curtain""","""mustard silk 84 inch sun block curtain""","""navy silk 84 inch sun blocking drape""","""blue silk 84 inch sun block curtain""","""light grey silk 84 inch sun block curtain""","""black grey silk 84 inch sun block curtain""","""light brown silk 84 inch black out curtain""","""off white silk 84 inch black out curtain""","""black silk 84 inch sun blocking drape""","""dark pink silk 84 inch sun block curtain""","""white silk 84 inch sun blocking drape""","""black and white silk 84 inch sun blocking drape""","""light teal silk 84 inch sun block curtain"""
"""light blue silk 84 inch black out drapery""","""grayish silk 84 inch sun blocking curtain""","""gold silk 84 inch sun blocking curtain""","""navy silk 84 inch black out drapery""","""indigo silk 84 inch sun block curtain""","""light gray silk 84 inch sun blocking curtain""","""dark grey silk 84 inch sun blocking curtain""","""burlap silk 84 inch sun block curtain""","""natural silk 84 inch sun block curtain""","""black silk 84 inch black out drapery""","""pink silk 84 inch sun blocking curtain""","""white silk 84 inch black out drapery""","""black and white silk 84 inch black out drapery""","""teal silk 84 inch sun blocking curtain"""
"""light blue silk 84 inch sun block drapery""","""grey silk 84 inch sun blocking curtain""","""yellow silk 84 inch sun blocking curtain""","""navy silk 84 inch sun block drapery""","""denim silk 84 inch sun block curtain""","""silver silk 84 inch sun blocking curtain""","""charcoal silk 84 inch sun blocking curtain""","""sand silk 84 inch sun block curtain""","""neutral silk 84 inch sun block curtain""","""black silk 84 inch sun block drapery""","""light pink silk 84 inch sun blocking curtain""","""white silk 84 inch sun block drapery""","""black and white silk 84 inch sun block drapery""","""dark teal silk 84 inch sun blocking curtain"""
"""light blue silk 84 inch sun blocking drapery""","""gray silk 84 inch sun blocking curtain""","""mustard silk 84 inch sun blocking curtain""","""navy silk 84 inch sun blocking drapery""","""bluish silk 84 inch sun blocking curtain""","""light grey silk 84 inch sun blocking curtain""","""black grey silk 84 inch sun blocking curtain""","""taupe silk 84 inch sun block curtain""","""greige silk 84 inch sun block curtain""","""black silk 84 inch sun blocking drapery""","""dark pink silk 84 inch sun blocking curtain""","""white silk 84 inch sun blocking drapery""","""black and white silk 84 inch sun blocking drapery""","""light teal silk 84 inch sun blocking curtain"""
"""light blue silk 84 inch black out panel""","""grayish silk 84 inch black out drape""","""gold silk 84 inch black out drape""","""navy silk 84 inch black out panel""","""blue silk 84 inch sun blocking curtain""","""light gray silk 84 inch black out drape""","""dark grey silk 84 inch black out drape""","""tan silk 84 inch sun block curtain""","""ivory silk 84 inch sun block curtain""","""black silk 84 inch black out panel""","""pink silk 84 inch black out drape""","""white silk 84 inch black out panel""","""black and white silk 84 inch black out panel""","""teal silk 84 inch black out drape"""
"""light blue silk 84 inch sun block panel""","""grey silk 84 inch black out drape""","""yellow silk 84 inch black out drape""","""navy silk 84 inch sun block panel""","""indigo silk 84 inch sun blocking curtain""","""silver silk 84 inch black out drape""","""charcoal silk 84 inch black out drape""","""beige silk 84 inch sun block curtain""","""cream silk 84 inch sun block curtain""","""black silk 84 inch sun block panel""","""light pink silk 84 inch black out drape""","""white silk 84 inch sun block panel""","""black and white silk 84 inch sun block panel""","""dark teal silk 84 inch black out drape"""
"""light blue silk 84 inch sun blocking panel""","""gray silk 84 inch black out drape""","""mustard silk 84 inch black out drape""","""navy silk 84 inch sun blocking panel""","""denim silk 84 inch sun blocking curtain""","""light grey silk 84 inch black out drape""","""black grey silk 84 inch black out drape""","""light brown silk 84 inch sun block curtain""","""off white silk 84 inch sun block curtain""","""black silk 84 inch sun blocking panel""","""dark pink silk 84 inch black out drape""","""white silk 84 inch sun blocking panel""","""black and white silk 84 inch sun blocking panel""","""light teal silk 84 inch black out drape"""
"""light blue silk 84 inch black out window curtain""","""grayish silk 84 inch sun block drape""","""gold silk 84 inch sun block drape""","""navy silk 84 inch black out window curtain""","""bluish silk 84 inch black out drape""","""light gray silk 84 inch sun block drape""","""dark grey silk 84 inch sun block drape""","""burlap silk 84 inch sun blocking curtain""","""natural silk 84 inch sun blocking curtain""","""black silk 84 inch black out window curtain""","""pink silk 84 inch sun block drape""","""white silk 84 inch black out window curtain""","""black and white silk 84 inch black out window curtain""","""teal silk 84 inch sun block drape"""
"""light blue silk 84 inch sun block window curtain""","""grey silk 84 inch sun block drape""","""yellow silk 84 inch sun block drape""","""navy silk 84 inch sun block window curtain""","""blue silk 84 inch black out drape""","""silver silk 84 inch sun block drape""","""charcoal silk 84 inch sun block drape""","""sand silk 84 inch sun blocking curtain""","""neutral silk 84 inch sun blocking curtain""","""black silk 84 inch sun block window curtain""","""light pink silk 84 inch sun block drape""","""white silk 84 inch sun block window curtain""","""black and white silk 84 inch sun block window curtain""","""dark teal silk 84 inch sun block drape"""
"""light blue silk 84 inch sun blocking window curtain""","""gray silk 84 inch sun block drape""","""mustard silk 84 inch sun block drape""","""navy silk 84 inch sun blocking window curtain""","""indigo silk 84 inch black out drape""","""light grey silk 84 inch sun block drape""","""black grey silk 84 inch sun block drape""","""taupe silk 84 inch sun blocking curtain""","""greige silk 84 inch sun blocking curtain""","""black silk 84 inch sun blocking window curtain""","""dark pink silk 84 inch sun block drape""","""white silk 84 inch sun blocking window curtain""","""black and white silk 84 inch sun blocking window curtain""","""light teal silk 84 inch sun block drape"""
"""light blue silk 96 inch black out curtain""","""grayish silk 84 inch sun blocking drape""","""gold silk 84 inch sun blocking drape""","""navy silk 96 inch black out curtain""","""denim silk 84 inch black out drape""","""light gray silk 84 inch sun blocking drape""","""dark grey silk 84 inch sun blocking drape""","""tan silk 84 inch sun blocking curtain""","""ivory silk 84 inch sun blocking curtain""","""black silk 96 inch black out curtain""","""pink silk 84 inch sun blocking drape""","""white silk 96 inch black out curtain""","""black and white silk 96 inch black out curtain""","""teal silk 84 inch sun blocking drape"""
"""light blue silk 96 inch sun block curtain""","""grey silk 84 inch sun blocking drape""","""yellow silk 84 inch sun blocking drape""","""navy silk 96 inch sun block curtain""","""bluish silk 84 inch sun block drape""","""silver silk 84 inch sun blocking drape""","""charcoal silk 84 inch sun blocking drape""","""beige silk 84 inch sun blocking curtain""","""cream silk 84 inch sun blocking curtain""","""black silk 96 inch sun block curtain""","""light pink silk 84 inch sun blocking drape""","""white silk 96 inch sun block curtain""","""black and white silk 96 inch sun block curtain""","""dark teal silk 84 inch sun blocking drape"""
"""light blue silk 96 inch sun blocking curtain""","""gray silk 84 inch sun blocking drape""","""mustard silk 84 inch sun blocking drape""","""navy silk 96 inch sun blocking curtain""","""blue silk 84 inch sun block drape""","""light grey silk 84 inch sun blocking drape""","""black grey silk 84 inch sun blocking drape""","""light brown silk 84 inch sun blocking curtain""","""off white silk 84 inch sun blocking curtain""","""black silk 96 inch sun blocking curtain""","""dark pink silk 84 inch sun blocking drape""","""white silk 96 inch sun blocking curtain""","""black and white silk 96 inch sun blocking curtain""","""light teal silk 84 inch sun blocking drape"""
"""light blue silk 96 inch black out drape""","""grayish silk 84 inch black out drapery""","""gold silk 84 inch black out drapery""","""navy silk 96 inch black out drape""","""indigo silk 84 inch sun block drape""","""light gray silk 84 inch black out drapery""","""dark grey silk 84 inch black out drapery""","""burlap silk 84 inch black out drape""","""natural silk 84 inch black out drape""","""black silk 96 inch black out drape""","""pink silk 84 inch black out drapery""","""white silk 96 inch black out drape""","""black and white silk 96 inch black out drape""","""teal silk 84 inch black out drapery"""
"""light blue silk 96 inch sun block drape""","""grey silk 84 inch black out drapery""","""yellow silk 84 inch black out drapery""","""navy silk 96 inch sun block drape""","""denim silk 84 inch sun block drape""","""silver silk 84 inch black out drapery""","""charcoal silk 84 inch black out drapery""","""sand silk 84 inch black out drape""","""neutral silk 84 inch black out drape""","""black silk 96 inch sun block drape""","""light pink silk 84 inch black out drapery""","""white silk 96 inch sun block drape""","""black and white silk 96 inch sun block drape""","""dark teal silk 84 inch black out drapery"""
"""light blue silk 96 inch sun blocking drape""","""gray silk 84 inch black out drapery""","""mustard silk 84 inch black out drapery""","""navy silk 96 inch sun blocking drape""","""bluish silk 84 inch sun blocking drape""","""light grey silk 84 inch black out drapery""","""black grey silk 84 inch black out drapery""","""taupe silk 84 inch black out drape""","""greige silk 84 inch black out drape""","""black silk 96 inch sun blocking drape""","""dark pink silk 84 inch black out drapery""","""white silk 96 inch sun blocking drape""","""black and white silk 96 inch sun blocking drape""","""light teal silk 84 inch black out drapery"""
"""light blue silk 96 inch black out drapery""","""grayish silk 84 inch sun block drapery""","""gold silk 84 inch sun block drapery""","""navy silk 96 inch black out drapery""","""blue silk 84 inch sun blocking drape""","""light gray silk 84 inch sun block drapery""","""dark grey silk 84 inch sun block drapery""","""tan silk 84 inch black out drape""","""ivory silk 84 inch black out drape""","""black silk 96 inch black out drapery""","""pink silk 84 inch sun block drapery""","""white silk 96 inch black out drapery""","""black and white silk 96 inch black out drapery""","""teal silk 84 inch sun block drapery"""
"""light blue silk 96 inch sun block drapery""","""grey silk 84 inch sun block drapery""","""yellow silk 84 inch sun block drapery""","""navy silk 96 inch sun block drapery""","""indigo silk 84 inch sun blocking drape""","""silver silk 84 inch sun block drapery""","""charcoal silk 84 inch sun block drapery""","""beige silk 84 inch black out drape""","""cream silk 84 inch black out drape""","""black silk 96 inch sun block drapery""","""light pink silk 84 inch sun block drapery""","""white silk 96 inch sun block drapery""","""black and white silk 96 inch sun block drapery""","""dark teal silk 84 inch sun block drapery"""
